Probe	Ensembl	chromosome_name
CDC27_IL3760625	ENSG00000004897	17
SLC4A1_IL3759006	ENSG00000004939	17
DVL2_IL3743440	ENSG00000004975	17
PRSS22_IL3677268	ENSG00000005001	16
UPF1_IL3825383	ENSG00000005007	19
SKAP2_IL3042610	ENSG00000005020	7
POLR2J_IL3065015	ENSG00000005075	7
DHX33_IL3742727	ENSG00000005100	17
MEOX1_IL3758545	ENSG00000005102	17
LIG3_IL3718401	ENSG00000005156	17
RPAP3_IL3452622	ENSG00000005175	12
ACSM3_IL3651478	ENSG00000005187	16
LOC81691_IL3651509	ENSG00000005189	16
CIAPIN1_IL3693183	ENSG00000005194	16
SPPL2B_IL3816424	ENSG00000005206	19
DRD3_IL2689378	ENSG00000005238	9
COPZ2_IL3761054	ENSG00000005243	17
PRKAR2B_IL3018375	ENSG00000005249	7
CREBBP_IL3677795	ENSG00000005339	16
BZRAP1_IL3764289	ENSG00000005379	17
MPO_IL3764245	ENSG00000005381	17
WDR54_IL2489228	ENSG00000005448	2
CROT_IL3011317	ENSG00000005469	7
ABCB4_IL3060117	ENSG00000005471	7
RHBDD2_IL3009198	ENSG00000005486	7
SOX8_IL3643503	ENSG00000005513	16
IBTK_IL2962525	ENSG00000005700	6
ZNF195_IL3359751	ENSG00000005801	11
MYCBP2_IL3518496	ENSG00000005810	13
FBXL3_IL3518455	ENSG00000005812	13
ITGAL_IL3656223	ENSG00000005844	16
ITGA3_IL3726154	ENSG00000005884	17
GGNBP2_IL3719161	ENSG00000005955	
ITGA2B_IL3759137	ENSG00000005961	17
GDE1_IL3683276	ENSG00000006007	16
C19orf60_IL3825225	ENSG00000006015	19
CRLF1_IL3855104	ENSG00000006016	19
OSBPL7_IL3760894	ENSG00000006025	17
TMEM98_IL3717870	ENSG00000006042	17
YBX2_IL3743571	ENSG00000006047	17
MAP3K14_IL3759704	ENSG00000006062	17
TMEM132A_IL3332626	ENSG00000006118	11
AP2B1_IL3718682	ENSG00000006125	17
ZNF263_IL3645779	ENSG00000006194	16
SPATA20_IL3726569	ENSG00000006282	17
TNFRSF12A_IL3645555	ENSG00000006327	16
MAP3K9_IL3570599	ENSG00000006432	14
RALA_IL2998404	ENSG00000006451	7
BAIAP2L1_IL3062868	ENSG00000006453	7
ETV1_IL3039177	ENSG00000006468	7
AGK_IL3027808	ENSG00000006530	7
ALDH3B1_IL3337329	ENSG00000006534	11
TTC22_IL2413886	ENSG00000006555	1
PHTF2_IL3010082	ENSG00000006576	7
FARP2_IL2536531	ENSG00000006607	2
GGCT_IL3044129	ENSG00000006625	7
DBF4_IL3011454	ENSG00000006634	7
TBXA2R_IL3846280	ENSG00000006638	19
IFRD1_IL3019519	ENSG00000006652	7
COX10_IL3711165	ENSG00000006695	17
GTF2IRD1_IL3008266	ENSG00000006704	7
PAF1_IL3861978	ENSG00000006712	19
VPS41_IL7385683	ENSG00000006715	7
ELAC2_IL3746040	ENSG00000006744	17
SCIN_IL2990404	ENSG00000006747	7
ADIPOR2_IL3400625	ENSG00000006831	12
CDKL3_IL2876146	ENSG00000006837	5
PRSS21_IL3645338	ENSG00000007038	16
MARK4_IL3836156	ENSG00000007047	19
CCDC124_IL3824648	ENSG00000007080	19
NOS2_IL3750369	ENSG00000007171	17
KIAA0100_IL3750872	ENSG00000007202	17
GAS7_IL3744965	ENSG00000007237	17
TRAPPC6A_IL3865223	ENSG00000007255	19
MATK_IL3846403	ENSG00000007264	19
CD79B_IL3766533	ENSG00000007312	17
SCN4A_IL3766549	ENSG00000007314	17
ST7L_IL2428313	ENSG00000007341	1
PAX6_IL3368054	ENSG00000007372	11
RPUSD1_IL3675430	ENSG00000007376	16
RHBDF1_IL3674848	ENSG00000007384	16
LUC7L_IL3674960	ENSG00000007392	16
CACNA2D2_IL2675315	ENSG00000007402	3
BAIAP3_IL3643752	ENSG00000007516	16
PIGQ_IL3643019	ENSG00000007541	16
CRAMP1L_IL3643966	ENSG00000007545	16
TEAD3_IL2951500	ENSG00000007866	6
DNAJC11_IL2394841	ENSG00000007923	1
MYLIP_IL2896484	ENSG00000007944	6
E2F2_IL2401448	ENSG00000007968	1
PSMB1_IL2986493	ENSG00000008018	6
JARID2_IL2896177	ENSG00000008083	6
CDK11B_IL2391744	ENSG00000008128	1
NADK_IL2391687	ENSG00000008130	1
DLEC1_IL2617477	ENSG00000008226	3
CYTH3_IL3037251	ENSG00000008256	7
ADAM22_IL3011492	ENSG00000008277	7
SYPL1_IL3066751	ENSG00000008282	7
CYB561_IL3766153	ENSG00000008283	17
SPAG9_IL3762519	ENSG00000008294	17
CELSR3_IL2673594	ENSG00000008300	3
AASS_IL3070183	ENSG00000008311	7
PLEKHG6_IL3402398	ENSG00000008323	12
SS18L2_IL2619323	ENSG00000008324	3
MPND_IL3817464	ENSG00000008382	19
MGST1_IL3406589	ENSG00000008394	12
CRY1_IL3469865	ENSG00000008405	12
PGLYRP1_IL3865853	ENSG00000008438	19
NFIX_IL3822122	ENSG00000008441	19
ST3GAL1_IL3154398	ENSG00000008513	8
MMP25_IL3645601	ENSG00000008516	16
IL32_IL3645626	ENSG00000008517	16
MAPK8IP2_IL3950974	ENSG00000008735	22
MED24_IL3755976	ENSG00000008838	17
RHOBTB2_IL3089740	ENSG00000008853	8
SEC62_IL2651828	ENSG00000008952	3
RPS20_IL3136129	ENSG00000008988	8
CSDE1_IL2429277	ENSG00000009307	1
UBE3C_IL3033924	ENSG00000009335	7
REV3L_IL2969677	ENSG00000009413	6
FAM76A_IL2327188	ENSG00000009780	1
C1orf74_IL2453871	ENSG00000009790	1
POMT2_IL3572982	ENSG00000009830	14
VTA1_IL2928392	ENSG00000009844	6
BAZ1B_IL3056044	ENSG00000009954	7
RANBP9_IL2942504	ENSG00000010017	6
ETV7_IL2951859	ENSG00000010030	6
EXOC8_IL2460519	ENSG00000010072	1
METTL13_IL2367287	ENSG00000010165	1
DYRK4_IL3401828	ENSG00000010219	12
ZNF207_IL3717635	ENSG00000010244	17
UQCRC1_IL2673509	ENSG00000010256	3
STARD3NL_IL2997952	ENSG00000010270	7
CD9_IL3402315	ENSG00000010278	12
HHATL_IL2670874	ENSG00000010282	3
NCAPD2_IL3402571	ENSG00000010292	12
IFFO1_IL3441986	ENSG00000010295	12
GIPR_IL3836401	ENSG00000010310	19
PHF7_IL2623821	ENSG00000010318	3
SEMA3G_IL2676141	ENSG00000010319	3
NISCH_IL2623859	ENSG00000010322	3
STAB1_IL2623922	ENSG00000010327	3
FUZ_IL3868064	ENSG00000010361	19
SLC6A13_IL3439549	ENSG00000010379	12
PRSS3_IL3167187	ENSG00000010438	9
ZNF200_IL3677498	ENSG00000010539	16
CD4_IL3402786	ENSG00000010610	12
LRRC23_IL3402984	ENSG00000010626	12
HFE_IL2899110	ENSG00000010704	6
SCMH1_IL2408499	ENSG00000010803	1
FYN_IL2969886	ENSG00000010810	6
HIVEP2_IL2977265	ENSG00000010818	6
TCEB3_IL2325251	ENSG00000011007	1
LYPLA2_IL2325290	ENSG00000011009	1
CLCN6_IL2320472	ENSG00000011021	1
MRC2_IL3730322	ENSG00000011028	17
TSPAN9_IL3401325	ENSG00000011105	12
BTBD7_IL3577277	ENSG00000011114	14
APBA3_IL3846363	ENSG00000011132	19
MKS1_IL3764199	ENSG00000011143	17
ABHD5_IL2619761	ENSG00000011198	3
AKAP8L_IL3853345	ENSG00000011243	19
MBTD1_IL3762625	ENSG00000011258	17
UTP18_IL3726992	ENSG00000011260	17
RNF216_IL3036985	ENSG00000011275	7
TTC19_IL3711899	ENSG00000011295	17
LARS2_IL2620538	ENSG00000011376	3
PIK3C2A_IL3364759	ENSG00000011405	11
PLAUR_IL3864551	ENSG00000011422	19
ANLN_IL2997376	ENSG00000011426	7
GPR21_IL3188395	ENSG00000011454	9
QPCTL_IL3836432	ENSG00000011478	19
PPP5C_IL3836760	ENSG00000011485	19
MAP4K3_IL2549260	ENSG00000011566	2
ZBTB32_IL3830680	ENSG00000011590	19
TYROBP_IL3860137	ENSG00000011600	19
TMEM159_IL3651639	ENSG00000011638	16
BRCA1_IL3758317	ENSG00000012048	17
ERCC1_IL3865378	ENSG00000012061	19
CD22_IL3830359	ENSG00000012124	19
SEMA3B_IL2622696	ENSG00000012171	3
LTF_IL2672140	ENSG00000012223	3
EXTL3_IL3091797	ENSG00000012232	8
ELOVL5_IL2957596	ENSG00000012660	6
ALOX5_IL3244622	ENSG00000012779	10
CALCOCO1_IL3456353	ENSG00000012822	12
C14orf142_IL3577256	ENSG00000012963	14
MAP4K5_IL3563922	ENSG00000012983	14
EHD3_IL2475911	ENSG00000013016	2
PSMC4_IL3833291	ENSG00000013275	19
MAN2B2_IL2717014	ENSG00000013288	4
SLC25A39_IL3759077	ENSG00000013306	17
MVP_IL3655723	ENSG00000013364	16
NUB1_IL3032017	ENSG00000013374	7
PGM3_IL2962767	ENSG00000013375	6
RWDD2A_IL2915357	ENSG00000013392	6
CLK1_IL2594497	ENSG00000013441	2
POLR3B_IL3430129	ENSG00000013503	12
RNF14_IL2833024	ENSG00000013561	5
CD6_IL3332663	ENSG00000013725	11
TACC3_IL2714955	ENSG00000013810	4
POLA2_IL3335029	ENSG00000014138	11
ZC3H3_IL3157460	ENSG00000014164	8
CAPN1_IL3334954	ENSG00000014216	11
ACPP_IL2642720	ENSG00000014257	3
MDH1_IL2485176	ENSG00000014641	2
SLC30A9_IL2725381	ENSG00000014824	4
MTMR11_IL2434178	ENSG00000014914	1
COX15_IL3303109	ENSG00000014919	10
CCDC88C_IL3576441	ENSG00000015133	14
YAF2_IL3451264	ENSG00000015153	12
ZMYND11_IL3231389	ENSG00000015171	10
BID_IL3951927	ENSG00000015475	22
MATR3_IL2831124	ENSG00000015479	5
NPC1L1_IL3048712	ENSG00000015520	7
XYLT2_IL3726325	ENSG00000015532	17
NUDCD3_IL3048631	ENSG00000015676	7
CHDH_IL2676854	ENSG00000016391	3
ATP2C1_IL2642325	ENSG00000017260	3
SRCIN1_IL3755198	ENSG00000017373	
IGF1_IL3468345	ENSG00000017427	12
RALBP1_IL3778410	ENSG00000017797	18
RUFY3_IL2730554	ENSG00000018189	4
SLC11A1_IL2527747	ENSG00000018280	2
WWTR1_IL2700404	ENSG00000018408	3
AGPS_IL2517408	ENSG00000018510	2
TTC27_IL2476411	ENSG00000018699	2
ZNF582_IL3871903	ENSG00000018869	19
VSIG2_IL3396084	ENSG00000019102	11
PHLDB1_IL3351564	ENSG00000019144	11
MARCO_IL2502686	ENSG00000019169	2
CYP24A1_IL3910429	ENSG00000019186	20
PRDM11_IL3328745	ENSG00000019485	11
CD74_IL2881370	ENSG00000019582	5
HGF_IL3058944	ENSG00000019991	7
ZRANB1_IL3269328	ENSG00000019995	10
NCDN_IL2329887	ENSG00000020129	1
GPR124_IL3094334	ENSG00000020181	8
ZFP64_IL3909843	ENSG00000020256	20
SAMD4A_IL3536434	ENSG00000020577	14
RUNX3_IL2401994	ENSG00000020633	1
PLEKHB1_IL3339971	ENSG00000021300	11
SERPINB1_IL2938972	ENSG00000021355	6
SLC7A9_IL3858757	ENSG00000021488	19
SPAST_IL2476075	ENSG00000021574	2
OSBPL5_IL3359601	ENSG00000021762	11
AQR_IL3617757	ENSG00000021776	15
CPS1_IL2525989	ENSG00000021826	2
SAMD7_IL2651740	ENSG00000022267	X
NLRP2_IL3841901	ENSG00000022556	19
SLC45A4_IL3156541	ENSG00000022567	8
RNF10_IL3434413	ENSG00000022840	12
ZNF839_IL3553103	ENSG00000022976	14
ZDHHC6_IL3307120	ENSG00000023041	10
GRAMD1B_IL3353640	ENSG00000023171	11
RNH1_IL3358049	ENSG00000023191	11
ERP44_IL3217736	ENSG00000023318	9
ALAS1_IL2623515	ENSG00000023330	3
BIRC3_IL3346548	ENSG00000023445	11
AKAP11_IL3487220	ENSG00000023516	13
GLRX2_IL2449084	ENSG00000023572	1
SNAPC1_IL3539147	ENSG00000023608	14
DERA_IL3406493	ENSG00000023697	12
STRAP_IL3406421	ENSG00000023734	12
ABCC2_IL3260447	ENSG00000023839	10
DEF6_IL2904563	ENSG00000023892	6
GCLM_IL2423625	ENSG00000023909	1
UBR2_IL2907190	ENSG00000024048	6
EHD2_IL3837431	ENSG00000024422	19
DEPDC1_IL2417528	ENSG00000024526	1
CCDC28A_IL2927873	ENSG00000024862	6
RRAGD_IL2964231	ENSG00000025039	6
HSF2_IL2923819	ENSG00000025156	6
PHF20_IL3883547	ENSG00000025293	20
HSD17B6_IL3417703	ENSG00000025423	12
NR1H3_IL3329685	ENSG00000025434	11
NCAPH2_IL3950872	ENSG00000025770	22
TOMM34_IL3907111	ENSG00000025772	20
SEC63_IL2968054	ENSG00000025796	6
KPNA6_IL2328674	ENSG00000025800	1
VIM_IL3236958	ENSG00000026025	10
RTEL1_IL3893520	ENSG00000026036	20
FAS_IL3257098	ENSG00000026103	10
CD44_IL3326635	ENSG00000026508	11
KCNG1_IL3909442	ENSG00000026559	20
AGPAT4_IL2983030	ENSG00000026652	6
SLAMF7_IL2363202	ENSG00000026751	1
BTN3A1_IL2899372	ENSG00000026950	6
MIPEP_IL3505449	ENSG00000027001	13
PRKCH_IL3538893	ENSG00000027075	14
IFNGR1_IL2976113	ENSG00000027697	6
B4GALT7_IL2843283	ENSG00000027847	5
SH2D2A_IL2438575	ENSG00000027869	1
TNFRSF1B_IL2320727	ENSG00000028137	1
VEZT_IL3426828	ENSG00000028203	12
POU2F2_IL3863435	ENSG00000028277	19
BRD9_IL2845591	ENSG00000028310	5
SNX1_IL3597857	ENSG00000028528	15
TBPL1_IL2926476	ENSG00000028839	6
ARNTL2_IL3409127	ENSG00000029153	12
BCLAF1_IL2975680	ENSG00000029363	6
SLC39A9_IL3542063	ENSG00000029364	14
ANK1_IL3132940	ENSG00000029534	8
TFB1M_IL2980812	ENSG00000029639	6
RABEP1_IL3707642	ENSG00000029725	17
NUP160_IL3371986	ENSG00000030066	11
BAK1_IL2950753	ENSG00000030110	6
IKZF2_IL2597867	ENSG00000030419	2
GRN_IL3722917	ENSG00000030582	17
FAM13B_IL2877171	ENSG00000031003	5
CENPQ_IL2909723	ENSG00000031691	6
SARS_IL2350551	ENSG00000031698	1
RANBP3_IL3847538	ENSG00000031823	19
ARID4A_IL3537884	ENSG00000032219	14
TSSC1_IL2538480	ENSG00000032389	2
PNPLA6_IL3818897	ENSG00000032444	19
IFT88_IL3480411	ENSG00000032742	13
ALG1_IL3646542	ENSG00000033011	16
ZCCHC8_IL3475679	ENSG00000033030	12
ABCF2_IL3079463	ENSG00000033050	7
CHPF2_IL3031967	ENSG00000033100	7
LRRC7_IL2341387	ENSG00000033122	1
FUT8_IL3540552	ENSG00000033170	14
UBA6_IL2771718	ENSG00000033178	4
GAB2_IL3383227	ENSG00000033327	11
ATP6V0A1_IL3721718	ENSG00000033627	17
CALML4_IL3630668	ENSG00000033800	15
SLC4A7_IL2666904	ENSG00000033867	3
APBA2_IL3585905	ENSG00000034053	15
UHRF1_IL3817698	ENSG00000034063	
MAP2K3_IL3714729	ENSG00000034152	17
EFCAB1_IL3134468	ENSG00000034239	8
TMSB10_IL2491271	ENSG00000034510	2
ASTE1_IL2695295	ENSG00000034533	3
RNF19A_IL3146565	ENSG00000034677	8
PEX3_IL2928874	ENSG00000034693	6
GABARAPL2_IL3669059	ENSG00000034713	16
SH3YL1_IL2537109	ENSG00000035115	2
FAM136A_IL2558595	ENSG00000035141	2
VCL_IL3252071	ENSG00000035403	10
DEPDC1B_IL2858592	ENSG00000035499	5
DAPK2_IL3628832	ENSG00000035664	15
NSMAF_IL3136782	ENSG00000035681	8
ADSS_IL2464353	ENSG00000035687	1
STAP1_IL2729667	ENSG00000035720	4
RFC1_IL2766359	ENSG00000035928	4
TBC1D23_IL2633587	ENSG00000036054	3
CUL3_IL2601544	ENSG00000036257	2
MYOM2_IL3082990	ENSG00000036448	8
CYP46A1_IL3551432	ENSG00000036530	14
ZZZ3_IL2419046	ENSG00000036549	1
SLC18A1_IL3126694	ENSG00000036565	8
NSUN2_IL2847292	ENSG00000037474	5
FBXO42_IL2398073	ENSG00000037637	1
MFAP3_IL2836451	ENSG00000037749	5
MRI1_IL3822322	ENSG00000037757	19
METTL1_IL3458837	ENSG00000037897	12
AGA_IL2794902	ENSG00000038002	4
PI4K2B_IL2721777	ENSG00000038210	4
MAT2B_IL2838688	ENSG00000038274	5
EDC4_IL3665882	ENSG00000038358	16
TRIO_IL2802398	ENSG00000038382	5
VCAN_IL2818517	ENSG00000038427	5
MSR1_IL3125571	ENSG00000038945	8
CDH1_IL3666409	ENSG00000039068	16
SKIV2L2_IL2809885	ENSG00000039123	5
ZFYVE16_IL2817731	ENSG00000039319	5
FAM65A_IL3665550	ENSG00000039523	16
RAI14_IL2806091	ENSG00000039560	5
SOX30_IL2883541	ENSG00000039600	5
PNKP_IL3868125	ENSG00000039650	19
BEST2_IL3821869	ENSG00000039987	19
MARVELD3_IL3667652	ENSG00000040199	16
STAU2_IL3140640	ENSG00000040341	8
PQLC2_IL2323603	ENSG00000040487	1
CTNS_IL3706700	ENSG00000040531	17
RTN4R_IL3953153	ENSG00000040608	22
PHF23_IL3743464	ENSG00000040633	17
INPP4A_IL2495446	ENSG00000040933	2
RAB27B_IL3788976	ENSG00000041353	18
PSMA4_IL3603408	ENSG00000041357	15
TNC_IL3222170	ENSG00000041982	9
THAP3_IL2318416	ENSG00000041988	1
FAM65C_IL3909247	ENSG00000042062	20
TDP1_IL3548152	ENSG00000042088	14
AIFM2_IL3293187	ENSG00000042286	10
SPATA7_IL3547500	ENSG00000042317	14
MED17_IL3344897	ENSG00000042429	11
RETSAT_IL2562233	ENSG00000042445	2
CAPG_IL2562271	ENSG00000042493	2
AP2S1_IL3866302	ENSG00000042753	19
TG_IL3116614	ENSG00000042832	8
ADAM28_IL3090209	ENSG00000042980	8
DCUN1D1_IL2707764	ENSG00000043093	3
LCP2_IL2886595	ENSG00000043462	5
TRIT1_IL2408111	ENSG00000043514	1
CUL7_IL2954355	ENSG00000044090	6
CTNNA1_IL2830946	ENSG00000044115	5
CNTLN_IL3163728	ENSG00000044459	9
HSPA5_IL3225398	ENSG00000044574	9
DSG2_IL3783529	ENSG00000046604	18
GEMIN8P4_IL2422227	ENSG00000046647	X
WDR37_IL3231846	ENSG00000047056	10
YTHDC2_IL2824483	ENSG00000047188	5
ATP6V1H_IL3135452	ENSG00000047249	8
POLR2B_IL2728448	ENSG00000047315	4
ARAP2_IL2765590	ENSG00000047365	4
TPR_IL2448232	ENSG00000047410	1
CP_IL2700244	ENSG00000047457	3
DTNBP1_IL2943236	ENSG00000047579	6
ANO2_IL3441542	ENSG00000047617	12
C12orf4_IL3441215	ENSG00000047621	12
MAP4_IL2672966	ENSG00000047849	3
GOPC_IL2971378	ENSG00000047932	6
USP28_IL3391816	ENSG00000048028	11
HDAC9_IL2991395	ENSG00000048052	7
TSPAN17_IL2842707	ENSG00000048140	5
RRM2B_IL3147286	ENSG00000048392	8
ZNF800_IL3071213	ENSG00000048405	7
TNFRSF17_IL3648391	ENSG00000048462	16
MRPS10_IL2954005	ENSG00000048544	6
RSF1_IL3382972	ENSG00000048649	11
VPS13D_IL2320762	ENSG00000048707	1
CELF2_IL3234760	ENSG00000048740	10
FAM120A_IL3179872	ENSG00000048828	9
R3HDM1_IL2507380	ENSG00000048991	2
COL9A2_IL2408244	ENSG00000049089	1
ERCC8_IL2858668	ENSG00000049167	5
ADAMTS6_IL2859601	ENSG00000049192	5
H6PD_IL2319225	ENSG00000049239	1
VAMP3_IL2318637	ENSG00000049245	1
UTS2_IL2395123	ENSG00000049246	1
TNFRSF9_IL2395146	ENSG00000049249	1
LTBP1_IL2476510	ENSG00000049323	2
SNORA31_IL3512527	ENSG00000049449	11
RFC2_IL3056414	ENSG00000049541	7
ARID1B_IL2932928	ENSG00000049618	6
CLPTM1L_IL2845879	ENSG00000049656	5
NEDD4L_IL3789947	ENSG00000049759	18
PTCD2_IL2814855	ENSG00000049883	5
JKAMP_IL3538324	ENSG00000050130	14
DKK3_IL3363266	ENSG00000050165	11
ARHGEF5_IL3029646	ENSG00000050327	7
NFE2L3_IL2993590	ENSG00000050344	7
LIMA1_IL3454331	ENSG00000050405	12
LETMD1_IL3414776	ENSG00000050426	12
SLC4A8_IL3414885	ENSG00000050438	12
LAMC3_IL3191805	ENSG00000050555	9
PTGER3_IL2417945	ENSG00000050628	1
TNIP3_IL2783916	ENSG00000050730	4
MAPK9_IL2890605	ENSG00000050748	5
COL23A1_IL2889542	ENSG00000050767	5
BCAR1_IL3699426	ENSG00000050820	16
FAM160A2_IL3360772	ENSG00000051009	11
HERPUD1_IL3662387	ENSG00000051108	16
HOMER3_IL3855358	ENSG00000051128	19
RAD51_IL3590086	ENSG00000051180	15
PIK3CB_IL2697564	ENSG00000051382	3
CYBA_IL3704270	ENSG00000051523	16
HEBP2_IL2927722	ENSG00000051620	6
MPHOSPH9_IL3476012	ENSG00000051825	12
PLEKHA5_IL3407096	ENSG00000052126	12
PRSS8_IL3688254	ENSG00000052344	16
SIKE1_IL2429338	ENSG00000052723	1
RRP12_IL3302240	ENSG00000052749	10
C4orf45_IL2791593	ENSG00000052795	4
TTC17_IL3327948	ENSG00000052841	11
FSTL4_IL2875685	ENSG00000053108	5
FOXN3_IL3575567	ENSG00000053254	14
AKR7A2_IL2399718	ENSG00000053371	1
MRTO4_IL2323559	ENSG00000053372	1
NNAT_IL3884266	ENSG00000053438	20
USE1_IL3824103	ENSG00000053501	19
ANAPC4_IL2721848	ENSG00000053900	4
KCNQ1_IL3317352	ENSG00000053918	11
TRAPPC3_IL2406597	ENSG00000054116	1
THRAP3_IL2330334	ENSG00000054118	1
PHPT1_IL3194810	ENSG00000054148	9
ENTPD2_IL3230733	ENSG00000054179	9
ARID4B_IL2461786	ENSG00000054267	1
SDCCAG8_IL2388525	ENSG00000054282	1
PTPRN_IL2600089	ENSG00000054356	2
HHAT_IL2378369	ENSG00000054392	1
KIF1B_IL2319661	ENSG00000054523	1
TBC1D22A_IL3949229	ENSG00000054611	22
SYNE2_IL3539724	ENSG00000054654	14
FAM168A_IL3381540	ENSG00000054965	11
RELT_IL3339880	ENSG00000054967	11
GALC_IL3575103	ENSG00000054983	14
NOP58_IL2523144	ENSG00000055044	2
SPATA21_IL2398146	ENSG00000055070	1
KCNH2_IL3079202	ENSG00000055118	7
CUL1_IL3030285	ENSG00000055130	7
FAM114A2_IL2882555	ENSG00000055147	5
CYFIP2_IL2837266	ENSG00000055163	5
TAB2_IL2930592	ENSG00000055208	6
EIF2AK2_IL2548402	ENSG00000055332	2
USP36_IL3772581	ENSG00000055483	17
BAGE4_IL3924929	ENSG00000055609	7
WDR63_IL2344731	ENSG00000055732	1
PUM2_IL2542816	ENSG00000055917	2
MRPL43_IL3303652	ENSG00000055950	10
ITIH1_IL2624147	ENSG00000055957	3
ZFR_IL2852333	ENSG00000056097	5
TRAF1_IL3223738	ENSG00000056558	9
RC3H2_IL3224366	ENSG00000056586	9
PCGF2_IL3755323	ENSG00000056661	
IL17RB_IL2624565	ENSG00000056736	3
TRAF3IP2_IL2969810	ENSG00000056972	6
DCBLD2_IL2686023	ENSG00000057019	3
SOAT1_IL2369557	ENSG00000057252	1
PKP2_IL3450234	ENSG00000057294	12
MSH4_IL2342665	ENSG00000057468	1
F7_IL3502411	ENSG00000057593	13
GDI2_IL3275132	ENSG00000057608	10
PRDM1_IL2919669	ENSG00000057657	6
ATG5_IL2967550	ENSG00000057663	6
TMCC3_IL3466206	ENSG00000057704	12
MTA3_IL2478928	ENSG00000057935	2
USP13_IL2654091	ENSG00000058056	3
ATP11B_IL2654815	ENSG00000058063	3
CDK14_IL3012064	ENSG00000058091	7
SEC61A1_IL2641032	ENSG00000058262	3
PPP1R12A_IL3463571	ENSG00000058272	12
RASGRF1_IL3634852	ENSG00000058335	15
CROCCP3_IL2398193	ENSG00000058453	1
POLR3E_IL3652489	ENSG00000058600	16
ATP2B4_IL2375706	ENSG00000058668	1
ZBED6_IL2375810	ENSG00000058673	1
RIOK2_IL2868283	ENSG00000058729	5
YIPF1_IL2413484	ENSG00000058799	1
DGKG_IL2709235	ENSG00000058866	3
FLYWCH1_IL3645402	ENSG00000059122	16
UNKL_IL3675858	ENSG00000059145	16
TBXAS1_IL3027204	ENSG00000059377	7
PARP12_IL3075932	ENSG00000059378	7
ALDH18A1_IL3301512	ENSG00000059573	10
TARBP1_IL2461473	ENSG00000059588	1
MXD1_IL2487549	ENSG00000059728	2
CDK17_IL3466826	ENSG00000059758	12
DNAJC25_IL3184940	ENSG00000059769	9
SLC2A14_IL3442812	ENSG00000059804	12
PSD_IL3304301	ENSG00000059915	10
CTDP1_IL3795312	ENSG00000060069	18
STYK1_IL3444216	ENSG00000060140	12
WNK1_IL3400384	ENSG00000060237	12
CCAR1_IL3249788	ENSG00000060339	10
OGFR_IL3892941	ENSG00000060491	20
GNA15_IL3816815	ENSG00000060558	19
CREB3L3_IL3817316	ENSG00000060566	19
PIGV_IL2326707	ENSG00000060642	1
PTPRU_IL2327817	ENSG00000060656	1
SNRNP40_IL2404377	ENSG00000060688	1
RIMBP2_IL3478333	ENSG00000060709	12
QSER1_IL3325768	ENSG00000060749	11
ACAA1_IL2669533	ENSG00000060971	3
BCAT1_IL3447694	ENSG00000060982	12
HDAC7_IL3452743	ENSG00000061273	12
LZTS1_IL3126739	ENSG00000061337	8
SPAG4_IL3883441	ENSG00000061656	20
NCKAP1_IL2590736	ENSG00000061676	2
MRPS35_IL3409330	ENSG00000061794	12
GUCY1B3_IL2748923	ENSG00000061918	4
MON2_IL3419239	ENSG00000061987	12
